Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1995-01-01,0.07475597591902468,0.16357058648632633,0.39342545513362026,-1
1995-02-01,0.07591454070241649,0.1766698872093521,0.43088908091507644,-1
1995-03-01,0.06940499463980004,0.17529731013080496,0.45439422779630634,-1
1995-04-01,0.06762583778606314,0.18967270192546465,0.4959061537783561,-1
1995-05-01,0.06304218064111636,0.19239462386448003,0.5210753716594522,-1
1995-06-01,0.05679363888865579,0.1874660438645461,0.5293201371610448,-1
1995-07-01,0.05589163279193379,0.1961000161395406,0.5441017533881604,-1
1995-08-01,0.057616459476104984,0.20602146149634387,0.552425711846859,-1
1995-09-01,0.05292468680282547,0.19803080981642834,0.5416103150679428,-1
1995-10-01,0.045695272671390605,0.1756256993380704,0.5035864805888802,-1
1995-11-01,0.0386362842954708,0.15347687778630978,0.4603690350619236,-1
1995-12-01,0.03295751116733664,0.13472269754494118,0.41923756983800287,-1
1996-01-01,0.02910143577673025,0.12210682012647195,0.3868216579105472,-1
1996-02-01,0.0265962203151741,0.11274770769838816,0.3585129190797181,-1
1996-03-01,0.0252052575168524,0.1064429199916579,0.33605056720962695,-1
1996-04-01,0.022961082942055455,0.09683529136434672,0.3081015568359289,-1
1996-05-01,0.020598285628121358,0.08790650112618373,0.28565900306090397,-1
1996-06-01,0.01861505675945871,0.07996822225435177,0.2661102950795459,-1
1996-07-01,0.019966842137620976,0.08018936599580774,0.26561622486320413,-1
1996-08-01,0.020946967857047166,0.08184367004981524,0.27223378283907435,-1
1996-09-01,0.020383533243119315,0.07991597800594966,0.27341970237157587,-1
1996-10-01,0.019140351602517557,0.07593305384695284,0.2669001595379297,-1
1996-11-01,0.01798375823308524,0.07326544276701596,0.2655702576039419,-1
1996-12-01,0.018704445964063975,0.0761244591768513,0.2748215063457621,-1
1997-01-01,0.01897880710780247,0.07978120780024811,0.28950040297342583,-1
1997-02-01,0.01999750722478038,0.08662719319226432,0.3106156271066096,-1
1997-03-01,0.02446740640207909,0.10012794569694783,0.33724926765708385,-1
1997-04-01,0.02415679607529672,0.10164690974520495,0.34777398837314843,-1
1997-05-01,0.02153495879932696,0.0936498921898199,0.33578464135805913,-1
1997-06-01,0.018530578464517028,0.08350166847864687,0.3149466653920641,-1
1997-07-01,0.015869582352961042,0.07465658664218962,0.2949462903695745,-1
1997-08-01,0.013717546892195676,0.0662932054205027,0.2719294515202039,-1
1997-09-01,0.012299759514386754,0.0615907820532291,0.25977023263983484,-1
1997-10-01,0.01251526219064005,0.0635727266289936,0.2678916508647624,-1
1997-11-01,0.01247694889378514,0.06330173474906702,0.26683108924811505,-1
